employee_id,project_delivery_score,attendance_rate,quality_score,teamwork_score,learning_index,performance_score
E038,55.403298761202244,88.38969241897162,81.49163451815542,75.75029910842905,56.198985417851084,69.24
E039,61.71813951101569,94.06758608684835,74.70570828185289,80.89052017992937,52.96617560644845,75.37
E040,76.96861235869123,83.84567841783023,86.81946667836979,74.05392813037217,69.44452301103381,77.02
E041,82.3846657999541,91.13729967302065,73.65983409253839,72.24445723103499,73.84065448939307,82.09
E042,76.7136828118997,96.53571377141213,79.0821084682648,79.70581048044339,69.67305251905907,77.16
E043,73.8435171761176,81.96258382719387,84.03989823184365,79.71476599776106,49.325578999601234,76.3
E044,71.98896304410711,90.92316929266153,86.92604155336097,74.45139777240209,69.10879960487212,83.03
E045,60.214780096325725,91.29941397124212,70.3976287435538,74.70273186067175,56.95530499495147,62.74
E046,67.80155791605291,93.90911435888655,77.32399011327242,79.62434956150345,76.69672548830039,75.64
E047,70.39361229040213,83.81524644560959,76.20043751071235,67.86340960951873,73.66598246096848,76.08
E048,85.57122226218915,83.39771693457863,74.7733661394103,68.14775357936412,60.60120213672645,76.01
E049,78.43618289568461,92.60970782808448,94.12363392224877,72.97089045123295,64.86133082663306,82.67
E050,57.36959844637266,91.48492336616593,83.23985368768764,76.50586993801707,59.40786478111048,70.73
E051,78.24083969394795,91.25246425172938,69.91292836531964,80.17635295918603,69.37320902726829,78.4
E052,71.14917719583684,91.73224104748488,87.34289557643821,88.32749351864686,79.55142320501238,81.87
E053,68.23077999694041,86.59987639210755,96.97724957610106,84.00361736241413,60.14273953664456,82.31
E054,81.11676288840867,91.16126848580502,88.25972208440918,76.88043029025602,75.04046515517844,83.77
E055,85.30999522495951,91.46536236649341,67.8450402723679,77.86688654468118,64.69742381627559,79.85
E056,84.31280119116198,86.42824290986816,76.12612741707,70.98229444753534,62.07127167737656,76.53
E057,66.60782476777362,99.32887255572378,90.13528919349298,77.87040804805326,68.92969640045442,78.43
E058,71.90787624148786,92.36916460455893,74.33864427504976,75.97938952755904,59.64757677580626,73.96
E059,78.31263431403563,84.04348251398676,83.55055542516983,80.25902992236662,64.46350694652818,79.9
E060,84.75545127122359,93.28276804316914,86.19707242743469,72.20938339513374,58.021221074111516,79.59
E061,70.2082576215471,85.1265916488634,72.58455622737533,81.6354255996882,89.6472513291639,79.17
E062,73.14341023336183,93.93542301871226,79.5237971515056,88.72917239101804,70.35263551971728,86.72
E063,63.93665025993972,95.79297789503703,60.0,77.23867896080199,63.00274492007414,73.99
E064,63.037933759193294,85.89658840824144,71.80489886932568,80.81198205469259,72.13979910734221,72.42
E065,83.12525822394198,94.8168806462216,77.97945478885472,82.83100794197779,68.8767195030917,85.86
E066,88.56240028570824,92.06390463468249,70.01773454428121,75.19145669679915,67.79030400466777,79.21
E067,74.27989878419666,94.11030079997245,93.05929043145308,79.56864737267291,76.14166700043425,76.96
E068,85.03532897892023,99.48396491326974,68.55886897631494,78.08814680547256,77.57507710047305,79.44
E069,78.61636025047635,88.77305941998564,76.47964410642413,78.68373268984182,64.69498852389472,72.53
E070,68.54880245394875,86.23131917821256,81.04592461828874,72.58893151301173,64.2418175935532,73.49
E071,78.61395605508415,85.55242785187238,91.53018631252893,78.1715712198126,67.24948302848355,80.87
E072,90.38036566465969,85.92094857517282,68.51310279056449,81.48598803871815,46.980788352644154,82.3
E073,74.64173960890048,89.61449145292949,89.30531001723968,88.1580052545653,54.84808937801448,80.61
E074,90.64643655814007,91.70575987408321,80.0818644881567,84.71489578259644,83.66874267444524,86.15
E075,50.0,91.38345399665009,72.14793079161639,93.07227720258089,86.44967713501283,77.12
E076,83.21902504375224,94.13591624518011,83.69682779410617,72.62856705978365,67.50963960443622,74.92
E077,75.87047068238171,90.06500945938953,81.59247756458777,84.10624445704475,75.76556963055766,81.78
E078,72.00992649534132,97.26767038578659,75.19826498272964,79.28339404016846,73.11250154543536,81.27
E079,75.91760776535503,88.67671583381022,80.55841667992016,93.3286205325237,100.0,81.19
E080,55.124310853991076,100.0,76.91749122510592,72.34191200251394,81.19574911434577,78.38
E081,72.80328112162488,93.12833673882503,80.90813876200998,72.12194710473457,68.72082408519233,78.79
E082,78.57112571511746,85.71421221791859,85.29704539616837,73.80425148189184,60.44459559399574,76.67
E083,89.77894044741517,84.64553750969444,92.68813452916282,63.132729929831356,53.93553679742428,81.86
E084,69.81729781726352,92.41236207621593,70.0974760093852,74.31971484823467,72.03463635867223,82.21
E085,66.91506397106812,88.88268607337075,97.06426699725013,72.68607136912411,62.436492547156966,78.08
E086,69.98242956415463,93.57000247046047,64.38329760381998,79.05275650533345,55.77746290402326,73.55
E087,84.15402117702074,92.36618812286773,78.78571923971533,80.39229183044012,63.534271157574736,79.69
E088,78.28751109659684,89.63585543671563,84.70653765187662,91.1331958745112,59.18451996385605,78.35
E089,69.70239796232961,85.76603140965797,82.24793494188026,84.65296686730235,86.87141635072564,82.73
E090,80.13267433113356,82.42576387657067,75.01840384143524,73.96167441036317,78.81639756949451,75.88
E091,75.9707754934804,87.76742523966489,78.3350219971418,71.71109730056149,69.92027358683383,77.47
E092,84.68644990532889,94.28199397161737,76.05599252272934,81.44343420054554,84.79944138890026,82.98
E093,67.97946906122648,91.07046872065102,75.2850819444463,68.75836755085551,70.77368307647619,76.03
E094,71.72337853402232,83.77130610644006,86.7968167761682,90.82021136098048,61.38715798671736,79.46
E095,71.07891846867842,90.86590462925591,82.85612388772037,86.25608084504901,85.23124077269657,84.9
E096,60.364850518678814,91.92658689864419,74.45672323791477,74.71577043526706,75.38910043684659,72.37
E097,77.96120277064576,85.58071281899433,87.19679900346601,66.00805829636386,59.62753845673544,75.98
E098,77.6105527217989,90.76862552972764,82.45839616701288,87.4771066191579,68.09661321916391,78.33
E099,75.05113456642461,90.29104359223,86.50289695071169,77.19822108323167,61.24381746615243,77.31
E100,72.65412866624852,84.28514851084688,85.0370307353889,86.66471418381423,56.172002690356635,78.22
